id_empresa,nombre_empresa,id_empresa_bandera,direccion,localidad,provincia,region,latitud,longitud
9119,PAMPA ENERGIA S.A.,20,Av. Calchaqui y Fcio. Varela,QUILMES,BUENOS AIRES,Pampeana,-34.773234,-58.267362
9120,PAMPA ENERGIA S.A.,20,Av. Pellegrini y Sarmiento,ROSARIO,SANTA FE,Centro,-32.957113,-60.640693
9121,PAMPA ENERGIA S.A.,20,Av. Avellaneda 519 Bis,ROSARIO,SANTA FE,Centro,-32.921747,-60.675087
9122,PAMPA ENERGIA S.A.,20,Fondo de la Legua 99 y Thames,SAN ISIDRO,BUENOS AIRES,Pampeana,-34.49912,-58.54305
9123,PAMPA ENERGIA S.A.,20,Av. Juan M. de Rosas y Zapiola,SAN JUSTO,BUENOS AIRES,Pampeana,-34.679108,-58.55017
9124,PAMPA ENERGIA S.A.,20,Brown Almirante 2704,TEMPERLEY,BUENOS AIRES,Pampeana,-34.768672,-58.396358
9125,PAMPA ENERGIA S.A.,20,Av. V. Sarfield y Cortejarena,CAPITAL FEDERAL,CAPITAL FEDERAL,Pampeana,-34.640861,-58.389601
9126,PAMPA ENERGIA S.A.,20,Rivadavia y Murguiondo,CAPITAL FEDERAL,CAPITAL FEDERAL,Pampeana,-34.639309,-58.518604
9127,PAMPA ENERGIA S.A.,20,Av. Córdoba 2733/35,CAPITAL FEDERAL,CAPITAL FEDERAL,Pampeana,-34.59787,-58.4057
9132,PAMPA ENERGIA S.A.,20,Sesquicentenario y Pedro Pico,BAHIA BLANCA,BUENOS AIRES,Pampeana,-38.75249,-62.28361
9133,SEEWALD CENTRO S.A.,2,AV. SAN MARTIN 2646,PUERTO RICO,MISIONES,Noreste,-26.818379,-55.027061
9135,REYNOSO S.A.,2,Av. Las Malvinas 2595,CORDOBA,CORDOBA,Centro,-31.38953,-64.13709
9143,MORONI TORRES SOCIEDAD DE HECHO,28,MUSTERS 1522,TRELEW,CHUBUT,Patagonia,-43.270209,-65.307137
9145,LA POSTA SA,28,RUTA 51 Y AVDA. ROMERA,TAPALQUE,BUENOS AIRES,Pampeana,-36.369093,-60.009371
9146,RIO SALADO SRL,2,AVENIDA ROCA N°31,GRAL. ROCA,RIO NEGRO,Patagonia,-39.04304,-67.57906
9147,PETROTRES SA,26,AV. SAN MARTIN 1598,TRES ARROYOS,BUENOS AIRES,Pampeana,-38.365234,-60.291488
9151,MELIPAL S.A.,26,SAN NICOLAS DE BARI 1000,LA RIOJA,LA RIOJA,Noroeste,-29.410416,-66.832646
9152,MAELHO SRL,6,1ERA JUNTA 568,GUALEGUAYCHU,ENTRE RIOS,Centro,-33.00047,-58.52143
9153,ADOLFO SARTORI S.A.,2,AV. QUARANTA 6450,POSADAS,MISIONES,Noreste,-27.399512,-55.943303
