Fecha,id_producto,Precio Ars,id_empresa,Cotizacion_DolarBlue,Precio_dolarBlue,Cotizacion_DolarOficial,Precio_dolarOficial
2013-12-11,19,4.7,9601,9.54,0.49266247576452643,6.29,0.7472178105729885
2013-12-11,3,5.4,9601,9.54,0.5660377381124346,6.29,0.8585055695944974
2014-01-01,6,12.0,782,10.0,1.2,6.53,1.837672222732163
2014-01-01,2,6.0,5773,10.0,0.6,6.53,0.9188361113660815
2014-02-05,6,12.0,7945,12.55,0.9561752842728317,7.91,1.517067033057656
2014-03-14,21,5.3,1013,10.95,0.4840182732711561,7.91,0.6700379396004646
2014-07-20,19,5.1,1411,12.25,0.4163265306122449,8.17,0.6242350002906547
2016-01-01,19,15.69,4643,14.32,1.0956704144114577,13.41,1.1700223846779454
2016-02-29,2,16.1,9589,15.61,1.0313901572133062,15.86,1.0151324305496887
2016-03-31,2,17.03,9589,15.26,1.1159894983335699,14.89,1.1437205914932638
2016-04-01,6,12.99,7017,15.21,0.8540433903629737,15.02,0.8648468444809942
2016-04-01,6,11.99,6365,15.21,0.7882971709354931,15.02,0.7982689503716028
2016-04-04,6,10.6,4324,15.19,0.6978275373811775,15.06,0.7038512420087826
2016-04-04,6,9.99,3886,15.19,0.6576695375884872,15.06,0.6633465950629941
2016-04-05,6,9.96,2424,15.1,0.65960263234315,14.99,0.6644429721200086
2016-04-21,6,8.59,7813,14.8,0.5804053979254362,14.69,0.5847515483574891
2016-04-21,6,7.99,3655,14.8,0.5398648579073615,14.69,0.5439074355502139
2016-04-21,6,8.59,7812,14.8,0.5804053979254362,14.69,0.5847515483574891
2016-04-30,2,19.8,9589,14.66,1.350613929473897,14.54,1.3617606638202921
2016-05-05,6,8.98,1582,14.58,0.6159122117277348,14.53,0.618031669995338
2016-05-06,6,8.9,130,14.54,0.6121045408081112,14.52,0.612947639078157
2016-05-06,6,10.9,4090,14.54,0.749656123012181,14.52,0.7506886815676304
2016-05-06,6,10.9,8797,14.54,0.749656123012181,14.52,0.7506886815676304
2016-05-06,6,10.9,4087,14.54,0.749656123012181,14.52,0.7506886815676304
2016-05-08,21,17.39,6111,14.54,1.196011007264388,14.52,1.1976583644459717
2016-05-08,2,14.49,6111,14.54,0.9965612130684864,14.52,0.9979338528362353
2016-05-08,19,15.19,6111,14.54,1.044704266839911,14.52,1.046143217707551
2016-05-08,3,15.89,6111,14.54,1.0928473206113354,14.52,1.0943525825788667
2016-05-09,6,10.96,6543,14.53,0.754301459147985,14.52,0.7548209128423146
2016-05-12,6,11.05,773,14.7,0.7517006900255462,14.49,0.7625949050755088
2016-05-12,6,8.59,3804,14.7,0.5843537490786824,14.49,0.5928226456650335
2016-05-12,6,11.05,8009,14.7,0.7517006900255462,14.49,0.7625949050755088
2016-05-12,6,11.05,5299,14.7,0.7517006900255462,14.49,0.7625949050755088
2016-05-14,6,9.09,6473,14.63,0.6213260375184468,14.45,0.6290657522480809
2016-05-18,6,11.99,8698,14.71,0.8150917721894437,14.41,0.832061077513008
2016-05-24,6,11.05,6105,14.66,0.753751713165988,14.32,0.7716480611374512
2016-05-31,6,11.03,3908,14.51,0.7601653911793211,14.29,0.7718684415286524
2016-05-31,2,19.8,9589,14.51,1.3645761328513653,14.29,1.385584328401389
2016-05-31,6,11.03,1215,14.51,0.7601653911793211,14.29,0.7718684415286524
2016-06-01,6,11.95,6029,14.43,0.82813581062183,14.25,0.8385964912280701
2016-06-01,6,11.94,2696,14.43,0.8274428099434853,14.25,0.8378947368421052
2016-06-01,6,11.95,6352,14.43,0.82813581062183,14.25,0.8385964912280701
2016-06-01,6,11.95,8384,14.43,0.82813581062183,14.25,0.8385964912280701
2016-06-01,6,11.29,145,14.43,0.7823977658510846,14.25,0.7922807017543859
2016-06-01,6,9.0,449,14.43,0.6237006105101649,14.25,0.631578947368421
2016-06-02,6,11.03,1210,14.36,0.7681058679462549,14.22,0.7756680585706246
2016-06-08,6,9.5,247,14.23,0.6676036757276677,14.14,0.671852883262915
2016-06-08,6,11.99,7020,14.23,0.8425861128394457,14.14,0.8479490600339317
2016-06-08,6,9.3,6922,14.23,0.653548861501822,14.14,0.6577086120363274
2016-06-09,6,9.5,5617,14.31,0.6638713991214867,14.14,0.671852883262915
2016-06-09,6,11.6,4374,14.31,0.810621918927289,14.14,0.8203677311420856
2016-06-10,6,9.98,5352,14.31,0.6974143750770987,14.11,0.7072998045947638
2016-06-13,6,11.49,7301,14.41,0.7973629508444088,14.1,0.8148935949746641
2016-06-14,6,12.49,5923,14.41,0.8667592041816071,14.07,0.887704354719678
2016-06-14,6,10.99,2530,14.41,0.7626648241758096,14.07,0.7810945443049849
2016-06-15,6,11.99,7718,14.46,0.8291839535524995,14.05,0.8533807713331342
2016-06-16,6,11.49,1627,14.42,0.7968099819145785,14.13,0.813163475367362
2016-06-16,6,11.49,4807,14.42,0.7968099819145785,14.13,0.813163475367362
2016-06-27,6,11.95,1413,15.32,0.7800261251987651,15.43,0.7744653119670734
2016-06-29,6,10.9,179,15.02,0.7256990457923662,15.18,0.7180500514406136
2016-06-30,6,11.0,2533,15.05,0.730897000703818,15.23,0.72225872164306
2016-06-30,6,8.99,2387,15.05,0.5973421851206658,15.23,0.5902823552337373
2016-06-30,6,9.9,3962,15.05,0.6578073006334362,15.23,0.6500328494787541
2016-07-01,6,10.49,2575,15.05,0.6970099579439137,15.34,0.6838331092343773
2016-07-01,6,8.0,7299,15.05,0.5315614550573221,15.34,0.521512380731651
2016-07-01,6,10.7,1546,15.05,0.7109634461391684,15.34,0.6975228092285831
2016-07-01,6,10.48,8239,15.05,0.696345506125092,15.34,0.6831812187584628
2016-07-01,6,10.48,3417,15.05,0.696345506125092,15.34,0.6831812187584628
2016-07-01,6,8.9,523,15.05,0.591362118751271,15.34,0.5801825235639617
2016-07-01,6,10.89,5826,15.05,0.7235880306967798,15.34,0.70990872827096
2016-07-01,6,10.5,1185,15.05,0.6976744097627353,15.34,0.6844849997102919
2016-07-01,6,10.45,1036,15.05,0.694352150668627,15.34,0.681225547330719
2016-07-01,6,10.69,135,15.05,0.7102989943203467,15.34,0.6968709187526686
2016-07-02,6,10.39,1391,15.05,0.6903654397556972,15.34,0.6773142044752317
2016-07-05,6,10.5,7460,15.0,0.7,15.23,0.6894287797501937
2016-07-05,6,10.5,1049,15.0,0.7,15.23,0.6894287797501937
2016-07-06,6,10.47,7297,14.91,0.7022132868644698,15.05,0.6956810543062705
2016-07-06,6,9.95,732,14.91,0.6673373643076861,15.05,0.6611295597275444
